               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079005,            0.019701,            0.027533,             0.30297,             0.29034,             0.21369,            0.075738,             0.06266,            0.011511,            0.015294,            0.070016,           0.0033316,           0.0033316
                   1,            0.064328,            0.017519,            0.016997,             0.34728,             0.30692,             0.25338,            0.095904,            0.060475,            0.011255,            0.014249,            0.039884,            0.006533,            0.006533
                   2,            0.063755,            0.017228,            0.016915,              0.3423,             0.27431,             0.22663,            0.082854,            0.062955,             0.01142,            0.015081,           0.0096197,           0.0096023,           0.0096023
                   3,            0.063193,            0.017416,            0.016485,             0.38956,             0.32829,             0.28128,             0.10826,            0.058105,            0.010854,            0.012419,            0.009406,            0.009406,            0.009406
                   4,            0.060907,            0.017106,            0.015381,             0.41464,             0.36059,             0.31097,              0.1217,            0.056823,            0.010867,            0.011911,            0.009406,            0.009406,            0.009406
                   5,            0.059309,            0.016689,            0.014371,             0.44129,             0.37556,             0.34449,             0.13691,            0.055809,            0.010665,            0.011604,            0.009208,            0.009208,            0.009208
                   6,            0.058163,            0.016843,            0.013968,             0.45917,             0.39949,             0.37641,             0.15447,            0.054003,            0.010422,            0.010671,             0.00901,             0.00901,             0.00901
                   7,            0.057617,            0.016663,            0.013512,             0.50299,             0.42211,             0.40926,             0.16756,            0.053098,            0.010375,            0.010256,            0.008812,            0.008812,            0.008812
                   8,            0.056907,            0.016539,             0.01313,             0.51232,             0.41797,             0.41938,             0.17849,            0.052569,            0.010254,            0.010032,            0.008614,            0.008614,            0.008614
                   9,            0.056169,             0.01662,            0.012506,             0.50904,             0.44055,             0.43163,             0.18387,            0.051874,            0.010228,           0.0094426,            0.008416,            0.008416,            0.008416
                  10,            0.055769,            0.016267,            0.012351,             0.52569,             0.44468,             0.44289,             0.18826,            0.051286,            0.010215,           0.0091998,            0.008218,            0.008218,            0.008218
                  11,            0.055576,            0.016403,            0.012197,             0.53697,             0.44596,             0.45541,             0.19712,            0.050564,            0.010061,           0.0093611,             0.00802,             0.00802,             0.00802
                  12,            0.055016,            0.016126,            0.012074,             0.52948,             0.44997,             0.44943,             0.19423,            0.050612,            0.010061,           0.0090477,            0.007822,            0.007822,            0.007822
                  13,            0.054848,            0.016233,            0.011747,             0.54655,             0.47004,             0.46847,             0.20502,            0.049888,           0.0099988,           0.0086082,            0.007624,            0.007624,            0.007624
                  14,            0.054401,             0.01618,            0.011584,             0.55675,             0.46746,             0.47522,             0.20697,            0.049988,           0.0099545,           0.0087903,            0.007426,            0.007426,            0.007426
                  15,            0.054003,            0.015988,            0.011442,             0.53994,             0.48528,             0.48267,             0.21248,            0.049452,           0.0099253,           0.0086293,            0.007228,            0.007228,            0.007228
                  16,            0.053827,            0.015992,             0.01133,             0.55357,             0.47408,             0.48182,             0.21256,            0.049173,           0.0098945,           0.0085346,             0.00703,             0.00703,             0.00703
                  17,            0.053573,            0.015825,            0.011122,             0.56894,             0.48018,             0.49114,             0.21891,            0.049054,           0.0098367,           0.0084556,            0.006832,            0.006832,            0.006832
                  18,            0.053201,            0.015972,            0.010759,             0.57319,             0.47555,             0.49672,             0.22358,            0.048654,           0.0098333,           0.0081571,            0.006634,            0.006634,            0.006634
                  19,            0.052783,            0.016019,            0.010756,             0.58166,             0.47883,             0.50624,             0.22682,            0.048362,           0.0097917,            0.008117,            0.006436,            0.006436,            0.006436
                  20,            0.052565,             0.01579,            0.010482,             0.58178,             0.49091,             0.51254,              0.2324,            0.048134,           0.0097535,           0.0080958,            0.006238,            0.006238,            0.006238
                  21,            0.052454,            0.015665,            0.010535,             0.58381,             0.49269,             0.51693,             0.23358,            0.048033,           0.0097434,           0.0080665,             0.00604,             0.00604,             0.00604
                  22,            0.052181,            0.015812,            0.010367,             0.58677,             0.49801,             0.52117,             0.23758,             0.04786,           0.0097021,           0.0079747,            0.005842,            0.005842,            0.005842
                  23,            0.051646,            0.015581,            0.010364,             0.58511,             0.50033,             0.52244,             0.23874,            0.047728,           0.0097038,           0.0079183,            0.005644,            0.005644,            0.005644
                  24,            0.051636,            0.015563,            0.010077,             0.59214,             0.49916,             0.52412,             0.24045,            0.047607,           0.0097079,           0.0079126,            0.005446,            0.005446,            0.005446
                  25,            0.051737,            0.015687,           0.0099381,             0.59957,             0.49758,              0.5268,             0.24202,            0.047473,           0.0096997,           0.0078674,            0.005248,            0.005248,            0.005248
                  26,            0.051053,            0.015422,            0.009536,             0.60011,             0.50494,             0.53049,             0.24412,            0.047358,           0.0096825,           0.0078037,             0.00505,             0.00505,             0.00505
                  27,            0.051125,            0.015488,           0.0096646,             0.59808,             0.50626,               0.533,             0.24628,            0.047256,           0.0096585,           0.0077305,            0.004852,            0.004852,            0.004852
                  28,             0.05087,            0.015463,           0.0096341,              0.6002,             0.51019,             0.53554,             0.24758,            0.047133,           0.0096414,           0.0077166,            0.004654,            0.004654,            0.004654
                  29,            0.050421,            0.015373,           0.0093815,             0.60525,             0.51074,             0.53777,             0.24921,            0.047012,           0.0096316,           0.0077125,            0.004456,            0.004456,            0.004456
                  30,            0.050128,            0.015414,           0.0090517,             0.60225,             0.51175,             0.53877,             0.25048,            0.046923,            0.009621,           0.0077073,            0.004258,            0.004258,            0.004258
                  31,            0.050189,            0.015376,           0.0090501,             0.60677,             0.51359,             0.54032,             0.25136,            0.046858,           0.0096134,           0.0076977,             0.00406,             0.00406,             0.00406
                  32,             0.04974,            0.015287,           0.0089979,             0.60238,             0.51574,             0.54146,             0.25195,            0.046803,           0.0096053,           0.0076949,            0.003862,            0.003862,            0.003862
                  33,            0.049493,            0.015206,           0.0085698,              0.6058,             0.51711,             0.54352,             0.25295,            0.046742,           0.0095949,           0.0076835,            0.003664,            0.003664,            0.003664
                  34,            0.049147,            0.015052,           0.0084686,             0.60359,             0.52009,             0.54565,             0.25381,            0.046676,           0.0095832,           0.0076632,            0.003466,            0.003466,            0.003466
                  35,            0.049155,            0.015118,           0.0083311,             0.60297,             0.52129,              0.5464,             0.25449,            0.046623,           0.0095734,           0.0076547,            0.003268,            0.003268,            0.003268
                  36,            0.048767,            0.014817,           0.0082481,              0.6051,             0.52013,             0.54807,             0.25572,            0.046575,           0.0095663,           0.0076584,             0.00307,             0.00307,             0.00307
                  37,            0.048651,             0.01495,           0.0080506,             0.60748,             0.52125,             0.54997,             0.25661,            0.046533,           0.0095587,           0.0076711,            0.002872,            0.002872,            0.002872
                  38,             0.04815,            0.014889,           0.0078392,             0.61003,              0.5198,             0.55077,             0.25684,            0.046501,           0.0095515,           0.0076788,            0.002674,            0.002674,            0.002674
                  39,            0.047851,            0.014657,            0.007639,             0.61207,             0.52033,             0.55171,             0.25705,            0.046471,           0.0095446,           0.0076864,            0.002476,            0.002476,            0.002476
                  40,            0.047472,             0.01487,           0.0075498,             0.60986,             0.52043,             0.55236,             0.25801,            0.046436,           0.0095379,           0.0076997,            0.002278,            0.002278,            0.002278
                  41,            0.047313,            0.014775,           0.0072441,             0.60727,              0.5226,             0.55388,             0.25887,            0.046404,           0.0095303,           0.0077152,             0.00208,             0.00208,             0.00208
                  42,            0.046977,            0.014697,           0.0070972,             0.61011,             0.52298,             0.55467,              0.2595,            0.046375,           0.0095222,           0.0077315,            0.001882,            0.001882,            0.001882
                  43,            0.046457,            0.014786,           0.0066305,             0.60995,             0.52503,              0.5549,              0.2603,            0.046342,           0.0095141,           0.0077516,            0.001684,            0.001684,            0.001684
                  44,            0.046152,            0.014481,           0.0065643,             0.61194,             0.52355,             0.55562,              0.2608,            0.046309,           0.0095062,           0.0077727,            0.001486,            0.001486,            0.001486
                  45,            0.045984,            0.014599,           0.0064729,             0.61035,             0.52526,             0.55607,             0.26125,            0.046283,           0.0094991,           0.0077864,            0.001288,            0.001288,            0.001288
                  46,            0.045432,            0.014298,           0.0062164,             0.60888,             0.52769,             0.55668,             0.26195,            0.046256,           0.0094914,           0.0078064,             0.00109,             0.00109,             0.00109
                  47,            0.045186,            0.014374,           0.0060233,             0.61012,             0.52868,             0.55711,             0.26197,            0.046235,           0.0094835,           0.0078274,            0.000892,            0.000892,            0.000892
                  48,            0.044762,            0.014313,           0.0057907,               0.611,             0.52818,              0.5574,             0.26238,            0.046219,           0.0094765,           0.0078529,            0.000694,            0.000694,            0.000694
                  49,            0.044217,            0.014093,           0.0055563,             0.61043,             0.52865,             0.55847,             0.26316,            0.046202,           0.0094698,           0.0078818,            0.000496,            0.000496,            0.000496
